X1,Y1,H,W,Type,Value,Group
190,221,25,501,field,nan,0
184,286,25,225,field,nan,0
513,287,25,339,field,nan,0
292,721,33,53,field,nan,0
123,724,24,42,field,nan,0
123,795,23,42,field,nan,0
297,796,23,42,field,nan,0
118,913,338,725,field,nan,0
505,564,16,16,radio,nan,0
408,564,16,16,radio,nan,0
322,564,16,16,radio,nan,0
238,564,16,16,radio,nan,0
152,564,16,16,radio,nan,0
615,415,16,16,radio,nan,0
560,415,16,16,radio,nan,0
505,415,16,16,radio,nan,0
449,415,16,16,radio,nan,0
394,415,16,16,radio,nan,0
339,415,16,16,radio,nan,0
283,415,16,16,radio,nan,0
228,415,16,16,radio,nan,0
173,415,16,16,radio,nan,0
118,415,16,16,radio,nan,0
292,721,33,53,checkbox,nan,0
123,724,24,42,checkbox,nan,0
123,795,23,42,checkbox,nan,0
297,796,23,42,checkbox,nan,0
