X1,Y1,X2,Y2,Type,Value,Group
417,1307,166,13,label,FedbackForm,0
85,1151,60,11,label,Name:,0
83,1008,281,16,label,WhtdidyouIlkeveymuch?,0
157,956,121,14,label,Environment,0
404,944,182,23,label,|Administration,0
640,943,23,44,label,CL,0
708,949,221,29,label,Attitudeofemployes,0
80,889,23,44,label,Cc,0
157,901,130,11,label,Infastrcture,0
404,893,246,21,label,|TalentandInnvation,0
71,806,339,11,label,Ratesuppotivenssofemployee.,0
564,814,49,24,label,10,0
649,814,282,24,label,20304050,0
66,741,443,11,label,RateteImpactofprojetscompanyIsdoling.,0
559,749,49,24,label,10,0
644,749,204,24,label,203040,0
63,666,382,26,label,Ratetheoerallexperenceofthevisit.,0
559,677,49,24,label,10,0
644,677,127,24,label,2030,0
66,593,339,11,label,Ratequalitofprovidedresurces.,0
559,601,49,24,label,10,0
644,601,127,24,label,2030,0
75,536,653,16,label,HowmuchIlketydoyurecommendthecompanyforthelrsevices?,0
559,474,49,24,label,10,0
644,474,49,24,label,20,0
81,412,276,15,label,Anyconstrutivesuggestions,0
664,146,932,188,field,nan,0
160,244,924,274,field,nan,0
581,307,929,351,field,nan,0
236,322,491,352,field,nan,0
80,430,137,465,field,nan,0
644,434,691,461,field,nan,0
365,437,412,464,field,nan,0
80,484,137,519,field,nan,0
365,488,412,515,field,nan,0
73,1024,929,1239,field,nan,0
723,1295,923,1356,field,nan,0
901,914,26,26,radio,nan,0
823,914,26,26,radio,nan,0
746,914,26,26,radio,nan,0
668,914,26,26,radio,nan,0
583,914,26,26,radio,nan,0
901,786,26,26,radio,nan,0
824,786,26,26,radio,nan,0
747,786,26,26,radio,nan,0
669,786,26,26,radio,nan,0
583,786,26,26,radio,nan,0
901,711,26,26,radio,nan,0
823,711,26,26,radio,nan,0
746,711,26,26,radio,nan,0
668,711,26,26,radio,nan,0
583,711,26,26,radio,nan,0
901,638,26,26,radio,nan,0
823,638,26,26,radio,nan,0
746,638,26,26,radio,nan,0
668,638,26,26,radio,nan,0
583,638,26,26,radio,nan,0
906,573,26,26,radio,nan,0
829,573,26,26,radio,nan,0
751,573,26,26,radio,nan,0
674,573,26,26,radio,nan,0
588,573,26,26,radio,nan,0
80,430,137,465,checkbox,nan,0
644,434,691,461,checkbox,nan,0
365,437,412,464,checkbox,nan,0
80,484,137,519,checkbox,nan,0
365,488,412,515,checkbox,nan,0
