d,456,86,470,107
h,471,86,485,107
h,509,86,522,107
p,416,87,431,107
p,528,88,539,107
e,430,92,443,108
e,443,92,456,107
a,484,92,497,107
c,497,92,509,107
r,554,92,564,107
m,564,92,584,107
u,460,95,466,104
g,475,95,481,104
u,543,95,550,104
t,609,162,618,179
g,588,164,595,175
a,598,165,610,179
e,618,165,630,179
m,84,245,98,263
a,98,249,109,263
m,110,249,128,263
e,128,249,140,263
p,558,319,562,338
n,553,320,557,324
n,128,321,133,340
p,133,321,138,340
T,181,323,190,340
m,522,324,541,338
n,553,324,557,338
s,564,324,569,330
n,95,326,107,340
r,107,326,116,340
m,139,326,157,340
e,157,326,169,340
n,169,326,181,340
n,195,326,206,340
s,220,326,225,332
r,161,329,165,332
u,210,329,216,337
h,104,387,115,406
d,140,387,152,406
d,157,387,170,406
n,216,387,221,406
h,227,387,238,406
h,342,387,354,406
m,82,388,104,406
n,222,388,226,393
p,355,388,365,402
t,126,390,135,406
a,115,392,126,406
n,152,392,157,406
y,174,392,186,410
o,186,392,199,406
u,199,392,210,406
n,222,392,226,406
e,237,392,249,406
u,254,392,266,406
e,265,392,277,406
m,277,392,297,410
m,302,392,320,406
u,320,392,332,406
c,332,392,343,406
u,189,395,195,403
p,357,401,362,406
d,771,438,783,457
r,812,438,821,456
p,869,438,873,456
s,746,439,751,443
d,459,440,471,459
t,729,440,738,457
t,737,440,746,457
t,750,440,759,457
n,191,441,195,445
s,444,441,460,459
s,490,441,495,445
n,508,441,513,445
n,558,441,563,445
T,270,442,280,459
t,521,442,530,459
t,549,442,558,459
n,746,443,751,456
u,759,443,771,457
e,783,443,795,457
o,800,443,813,457
e,825,443,837,457
m,838,443,856,457
p,856,443,868,460
o,873,443,886,457
e,897,443,909,457
e,908,443,920,457
s,920,443,930,457
u,721,444,725,449
n,168,445,179,458
u,179,445,191,459
n,191,445,195,458
r,196,445,205,458
o,204,445,217,459
n,217,445,228,458
m,229,445,247,458
e,247,445,259,459
n,260,445,271,458
m,472,445,490,459
n,490,445,495,459
n,496,445,507,459
n,508,445,512,459
s,513,445,523,459
r,530,445,539,459
a,538,445,549,459
n,558,445,562,458
o,563,445,576,459
n,576,445,587,458
g,450,446,454,451
d,542,452,546,456
n,465,493,470,512
d,531,493,543,512
n,549,494,554,512
n,622,494,627,498
r,173,495,182,514
r,493,495,503,512
r,613,495,622,512
n,156,496,161,514
r,209,497,218,514
d,238,497,257,514
a,453,498,464,512
e,470,498,482,512
n,483,498,494,512
n,519,498,531,512
n,555,498,566,512
n,567,498,579,512
u,591,498,603,512
a,602,498,613,512
n,622,498,626,512
n,640,498,651,512
n,162,500,174,514
r,181,500,190,514
a,189,500,200,514
r,218,500,227,514
u,227,500,238,514
u,256,500,268,514
r,269,500,278,514
g,474,501,478,504
p,534,501,539,509
u,582,501,588,509
u,630,501,636,509
u,595,578,609,596
u,681,578,695,596
u,758,578,772,596
u,836,578,849,596
u,913,578,927,596
r,289,581,298,600
n,345,581,350,600
l,563,582,574,600
T,102,583,111,600
d,186,583,202,600
g,82,586,87,590
a,91,586,102,600
e,110,586,122,600
u,137,586,148,600
p,149,586,161,604
p,161,586,173,604
d,202,586,207,600
u,206,586,219,600
e,218,586,230,600
n,230,586,242,600
e,242,586,254,600
e,302,586,314,600
m,314,586,333,600
p,333,586,345,604
y,362,586,374,604
s,373,586,386,600
e,385,586,397,600
y,806,588,809,593
n,406,595,411,600
n,590,643,604,661
u,676,643,689,661
u,754,643,767,661
n,830,643,844,661
d,908,643,922,661
h,130,646,142,665
r,241,646,251,665
d,450,646,463,665
n,159,647,164,652
p,431,647,436,652
n,476,647,480,652
l,558,647,569,665
t,96,649,106,665
t,121,649,130,665
t,216,649,225,665
r,314,649,324,665
e,105,651,117,665
e,142,651,154,665
n,160,651,164,665
m,165,651,183,665
p,184,651,196,669
a,195,651,206,665
c,207,651,217,665
n,230,651,243,665
p,255,651,267,669
r,268,651,276,665
o,275,651,288,665
e,293,651,305,665
c,305,651,316,665
c,338,651,348,665
n,347,651,360,665
m,360,651,379,665
p,379,651,392,669
n,403,651,414,665
n,431,651,435,665
n,476,651,480,665
n,481,651,493,665
g,492,651,505,669
y,801,653,804,658
u,233,654,239,662
g,351,654,357,662
u,466,654,472,662
p,505,660,510,665
u,590,716,604,734
u,754,716,767,734
d,830,716,844,734
d,908,716,922,734
h,130,719,142,738
p,214,719,219,738
n,219,719,224,738
r,351,719,361,738
h,373,719,385,738
p,74,720,86,738
s,284,720,289,724
s,413,720,418,724
n,428,720,432,724
l,558,720,569,738
r,96,721,106,738
r,121,721,130,738
r,364,721,373,738
r,432,721,441,738
e,105,724,117,738
e,142,724,154,738
u,171,724,183,738
e,182,724,194,738
r,194,724,203,738
a,202,724,213,738
e,230,724,242,738
r,241,724,252,738
o,252,724,264,740
e,264,724,276,738
r,276,724,284,738
e,289,724,301,738
n,301,724,313,738
c,313,724,324,738
e,323,724,335,738
e,385,724,397,738
u,401,724,413,738
n,428,724,432,738
p,800,725,804,731
u,343,727,349,735
s,441,732,446,738
u,590,791,604,809
u,676,791,689,809
u,754,791,767,809
h,830,791,844,809
u,908,791,922,809
p,158,795,163,813
n,164,795,168,800
r,204,795,213,813
n,261,795,266,800
d,266,795,278,814
d,290,795,303,814
l,558,796,569,813
r,96,797,106,814
t,168,797,177,813
s,86,799,97,814
e,105,799,117,814
g,122,799,134,818
a,146,799,157,814
o,192,799,205,814
p,218,799,230,817
r,230,799,239,813
o,238,799,251,814
e,278,799,290,814
r,308,799,317,813
e,316,799,328,814
s,327,799,337,814
o,337,799,350,814
r,362,799,371,813
e,380,799,392,814
s,391,799,401,814
u,135,800,146,814
n,164,800,168,813
u,249,800,262,813
n,262,800,266,813
u,350,800,362,814
c,370,800,381,814
p,800,801,804,807
n,402,808,407,813
p,181,859,186,878
h,192,859,203,878
p,215,859,219,878
d,410,859,422,878
h,436,859,448,878
p,557,859,567,878
h,599,859,611,878
h,164,860,175,878
n,186,860,191,865
d,235,860,247,878
n,623,860,628,865
d,682,860,687,865
h,74,861,87,878
t,427,862,436,878
T,590,862,600,878
n,87,864,100,878
m,123,864,141,878
c,153,864,164,878
e,202,864,214,878
n,247,864,260,878
o,276,864,289,878
r,307,864,315,878
e,314,864,326,878
c,326,864,337,878
o,336,864,349,878
m,349,864,367,878
m,368,864,386,878
e,386,864,398,878
n,398,864,410,878
e,448,864,460,878
c,465,864,475,878
o,475,864,488,878
m,488,864,506,878
p,507,864,519,882
a,518,864,529,878
n,530,864,542,878
o,565,864,578,878
r,578,864,587,878
e,611,864,623,878
r,629,864,638,878
s,641,864,651,878
e,651,864,663,878
m,663,864,682,878
c,687,864,697,878
e,697,864,709,878
s,708,864,718,878
w,100,865,118,878
u,141,865,153,878
n,187,865,191,878
u,289,865,301,878
n,624,865,628,878
n,682,865,687,878
g,390,867,395,870
n,720,873,725,878
u,590,919,604,937
u,754,919,767,937
d,830,919,844,937
d,908,919,922,937
l,558,923,569,941
p,800,928,804,934
n,214,980,218,985
g,319,980,324,985
s,80,981,96,998
t,166,982,175,998
d,195,982,214,998
t,310,982,319,998
n,95,984,107,998
c,123,984,133,998
o,133,984,146,998
n,146,984,157,998
s,157,984,167,998
r,175,984,184,998
e,229,984,241,998
s,246,984,256,998
g,267,984,279,1002
g,278,984,291,1002
e,290,984,302,998
s,301,984,311,998
o,324,984,337,998
n,337,984,349,998
s,349,984,359,998
u,183,985,195,998
n,214,985,218,998
u,218,985,230,998
u,256,985,267,998
u,319,985,324,998
g,86,986,90,991
s,771,1263,776,1267
h,806,1263,819,1281
n,771,1267,776,1281
g,776,1267,788,1285
n,788,1267,799,1281
e,819,1267,831,1281
r,832,1267,840,1281
